Month,Close
02/01/1995,3421.47
03/01/1995,3260.96
04/01/1995,3133.28
05/01/1995,3351.48
06/01/1995,3247.36
07/01/1995,3386.97
08/01/1995,3346.76
09/01/1995,3493.21
10/01/1995,3423.47
11/01/1995,2994.29
12/01/1995,3110.49
01/01/1996,2931.84
02/01/1996,3391.99
03/01/1996,3366.61
04/01/1996,3826.72
05/01/1996,3724.97
06/01/1996,3812.52
07/01/1996,3536.94
08/01/1996,3514.61
09/01/1996,3239.48
10/01/1996,3163.78
11/01/1996,2890.5
12/01/1996,3085.2
01/01/1997,3382.47
02/01/1997,3651.91
03/01/1997,3360.89
04/01/1997,3841.11
05/01/1997,3755.1
06/01/1997,4256.09
07/01/1997,4305.76
08/01/1997,3876.08
09/01/1997,3902.03
10/01/1997,3803.24
11/01/1997,3560.29
12/01/1997,3658.98
01/01/1998,3224.36
02/01/1998,3622.22
03/01/1998,3892.75
04/01/1998,4006.81
05/01/1998,3686.39
06/01/1998,3250.69
07/01/1998,3211.31
08/01/1998,2933.85
09/01/1998,3102.29
10/01/1998,2812.49
11/01/1998,2810.66
12/01/1998,3055.41
01/01/1999,3315.57
02/01/1999,3399.63
03/01/1999,3739.96
04/01/1999,3325.69
05/01/1999,3963.56
06/01/1999,4140.73
07/01/1999,4542.34
08/01/1999,4898.21
09/01/1999,4764.42
10/01/1999,4444.56
11/01/1999,4622.21
12/01/1999,5005.82
01/01/2000,5205.29
02/01/2000,5446.98
03/01/2000,5001.28
04/01/2000,4657.55
05/01/2000,4433.61
06/01/2000,4748.77
07/01/2000,4279.86
08/01/2000,4477.31
09/01/2000,4090.38
10/01/2000,3711.02
11/01/2000,3997.99
12/01/2000,3972.12
01/01/2024,4326.72
02/01/2024,4247.04
03/01/2024,3604.38
04/01/2024,3519.16
05/01/2024,3631.91
06/01/2024,3456.78
07/01/2024,3329.28
08/01/2024,3244.95
09/01/2024,2811.6
10/01/2024,2989.35
11/01/2024,3287.56
12/01/2024,3262.33
01/02/2024,3311.03
02/02/2024,3562.31
03/02/2024,3469.35
04/02/2024,3338.16
05/02/2024,3125.73
06/02/2024,3244.7
07/02/2024,2987.65
08/02/2024,3181.23
09/02/2024,2991.36
10/02/2024,2949.32
11/02/2024,3228.82
12/02/2024,3377.28
01/03/2024,3250.38
02/03/2024,3283.66
03/03/2024,3048.72
04/03/2024,2959.79
05/03/2024,3180.75
06/03/2024,3607.13
07/03/2024,3792.61
08/03/2024,4244.73
09/03/2024,4453.24
10/03/2024,4906.87
11/03/2024,5044.82
12/03/2024,5838.96
01/04/2024,5695.67
02/04/2024,5667.51
03/04/2024,5590.6
04/04/2024,5655.09
05/04/2024,4759.62
06/04/2024,4795.46
07/04/2024,5170.32
08/04/2024,5192.08
09/04/2024,5583.61
10/04/2024,5672.27
11/04/2024,6234.29
12/04/2024,6602.69
01/05/2024,6555.94
02/05/2024,6713.86
03/05/2024,6492.82
04/05/2024,6154.44
05/05/2024,6715.11
06/05/2024,7193.85
07/05/2024,7635.42
08/05/2024,7805.43
09/05/2024,8634.48
10/05/2024,7892.32
11/05/2024,8788.81
12/05/2024,9397.93
01/06/2024,9919.89
02/06/2024,10370.24
03/06/2024,11279.96
04/06/2024,12042.56
05/06/2024,10398.61
06/06/2024,10609.25
07/06/2024,10743.88
08/06/2024,11699.05
09/06/2024,12454.42
10/06/2024,12961.9
11/06/2024,13696.31
12/06/2024,13786.91
01/07/2024,14090.92
02/07/2024,12938.09
03/07/2024,13072.1
04/07/2024,13872.37
05/07/2024,14544.46
06/07/2024,14650.51
07/07/2024,15550.99
08/07/2024,15318.6
09/07/2024,17291.1
10/07/2024,19837.99
11/07/2024,19363.19
12/07/2024,20286.99
01/08/2024,17648.71
02/08/2024,17578.72
03/08/2024,15644.44
04/08/2024,17287.31
05/08/2024,16415.57
06/08/2024,13461.6
07/08/2024,14355.75
08/08/2024,14564.53
09/08/2024,12860.43
10/08/2024,9788.06
11/08/2024,9092.72
12/08/2024,9647.31
01/09/2024,9424.24
02/09/2024,8891.61
03/09/2024,9708.5
04/09/2024,11403.25
05/09/2024,14625.25
06/09/2024,14493.84
07/09/2024,15670.31
08/09/2024,15666.64
09/09/2024,17126.84
10/09/2024,15896.28
11/09/2024,16926.22
12/09/2024,17464.81
01/10/2024,16357.96
02/10/2024,16429.55
03/10/2024,17527.77
04/10/2024,17558.71
05/10/2024,16944.63
06/10/2024,17700.9
07/10/2024,17868.29
08/10/2024,17971.12
09/10/2024,20069.12
10/10/2024,20032.34
11/10/2024,19521.25
12/10/2024,20509.09
01/11/2024,18327.76
02/11/2024,17823.4
03/11/2024,19445.22
04/11/2024,19135.96
05/11/2024,18503.28
06/11/2024,18845.87
07/11/2024,18197.2
08/11/2024,16676.75
09/11/2024,16453.76
10/11/2024,17705.01
11/11/2024,16123.46
12/11/2024,15454.92
01/12/2024,17193.55
02/12/2024,17752.68
03/12/2024,17404.2
04/12/2024,17318.81
05/12/2024,16218.53
06/12/2024,17429.98
07/12/2024,17236.18
08/12/2024,17429.56
09/12/2024,18762.74
10/12/2024,18505.38
11/12/2024,19339.9
12/12/2024,19426.71
01/13/2024,19894.98
02/13/2024,18861.54
03/13/2024,18835.77
04/13/2024,19504.18
05/13/2024,19760.3
06/13/2024,19395.81
07/13/2024,19345.7
08/13/2024,18619.72
09/13/2024,19379.77
10/13/2024,21164.52
11/13/2024,20791.93
12/13/2024,21170.68
01/14/2024,20513.85
02/14/2024,21120.12
03/14/2024,22386.27
04/14/2024,22417.8
05/14/2024,24217.34
06/14/2024,25413.78
07/14/2024,25894.97
08/14/2024,26638.11
09/14/2024,26630.51
10/14/2024,27865.83
11/14/2024,28693.99
12/14/2024,27499.42
01/15/2024,29182.95
02/15/2024,29361.5
03/15/2024,27957.49
04/15/2024,27011.31
05/15/2024,27828.44
06/15/2024,27780.83
07/15/2024,28114.56
08/15/2024,26283.09
09/15/2024,26154.83
10/15/2024,26656.83
11/15/2024,26145.67
12/15/2024,26117.54
01/16/2024,24870.69
02/16/2024,23002
03/16/2024,25341.86
04/16/2024,25606.62
05/16/2024,26667.96
06/16/2024,26999.72
07/16/2024,28051.86
08/16/2024,28452.17
09/16/2024,27865.96
10/16/2024,27930.21
11/16/2024,26652.81
